,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Carroll Dale 83 yard pass from Bart Starr (Don Chandler kick),0,7
1,4.0,Packers,Bart Starr 1 yard rush,0,13
2,4.0,49ers,Dave Parks 65 yard pass from John Brodie (Tommy Davis kick),7,13
3,4.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),7,20
