,Quarter,Time,Tm,Detail,ARI,PHI
0,2.0,,Eagles,Eddie Murray 36 yard field goal,0,3
1,3.0,11:25,Eagles,Fred Barnett 47 yard pass from Randall Cunningham (Eddie Murray kick),0,10
2,3.0,11:25,Eagles,Fred Barnett 50 yard pass from Randall Cunningham (Eddie Murray kick),0,17
3,4.0,11:25,Cardinals,Ricky Proehl 5 yard pass from Steve Beuerlein (Greg Davis kick),7,17
