,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Pat Summerall 23 yard field goal,3,0
1,2.0,Giants,Bob Schnelker 66 yard pass from Charlie Conerly (Pat Summerall kick),10,0
2,2.0,Giants,Frank Gifford 1 yard rush (Pat Summerall kick),17,0
3,2.0,Rams,Ollie Matson 2 yard rush (Jack Morris kick),17,7
4,3.0,Rams,Joe Marconi 8 yard pass from Billy Wade (Jack Morris kick),17,14
5,3.0,Rams,Del Shofner 43 yard pass from Billy Wade (Jack Morris kick),17,21
6,4.0,Giants,Pat Summerall 14 yard field goal,20,21
7,4.0,Giants,Pat Summerall 18 yard field goal,23,21
