,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,,Giants,Thomas Lewis 46 yard pass from Dave Brown (Brad Daluiso kick),7,0
1,1.0,,Eagles,Fred Barnett 13 yard pass from Rodney Peete (Gary Anderson kick),7,7
2,1.0,,Eagles,Ricky Watters 3 yard rush (Gary Anderson kick),7,14
3,2.0,,Eagles,Fred Barnett 4 yard pass from Rodney Peete (Gary Anderson kick),7,21
4,3.0,,Giants,Brad Daluiso 44 yard field goal,10,21
5,3.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),10,28
6,4.0,6:15,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),17,28
7,4.0,6:15,Giants,"Safety, Strahan blocked punt out of end zone",19,28
