,Quarter,Tm,Detail,SEA,CIN
0,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),0,7
1,2.0,Seahawks,Norm Johnson 43 yard field goal,3,7
2,2.0,Bengals,David Verser 56 yard pass from Ken Anderson (Jim Breech kick),3,14
3,3.0,Seahawks,Steve Largent 2 yard pass from Jim Zorn (Norm Johnson kick),10,14
4,4.0,Bengals,Jim Breech 34 yard field goal,10,17
5,4.0,Bengals,Pete Johnson 3 yard rush (Jim Breech kick),10,24
