,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Jeff Jaeger 51 yard field goal,0,3
1,2.0,Raiders,Willie Gault 4 yard pass from Jay Schroeder (Jeff Jaeger kick),0,10
2,2.0,Raiders,Andrew Glover 1 yard pass from Jay Schroeder (Jeff Jaeger kick),0,17
3,2.0,Seahawks,Mike Tice 6 yard pass from Dave Krieg (John Kasay kick),7,17
4,2.0,Raiders,Ethan Horton 51 yard pass from Jay Schroeder (Jeff Jaeger kick),7,24
5,4.0,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),7,31
