,Quarter,Tm,Detail,BOS,NYG
0,1.0,Giants,Len Calligaro 1 yard rush (Ken Strong kick),0,7
1,1.0,Giants,Ken Strong 38 yard field goal,0,10
2,3.0,Giants,Ward Cuff 40 yard pass from Joe Sulaitis (Ken Strong kick),0,17
3,3.0,Giants,Bill Paschal 18 yard rush (Ken Strong kick),0,24
4,4.0,Giants,Bill Petrilas 67 yard interception return (Ken Strong kick),0,31
