,Quarter,Time,Tm,Detail,BAL,SEA
0,2.0,11:34,Seahawks,Nate Burleson 21 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
1,2.0,5:57,Seahawks,LeRoy Hill 20 yard defensive fumble return (Josh Brown kick),0,14
2,2.0,1:53,Seahawks,Shaun Alexander 14 yard pass from Matt Hasselbeck (Josh Brown kick),0,21
3,3.0,5:40,Seahawks,Josh Brown 42 yard field goal,0,24
4,3.0,3:07,Seahawks,Josh Brown 39 yard field goal,0,27
5,4.0,4:41,Ravens,Derrick Mason 79 yard pass from Troy Smith (pass failed),6,27
