,Quarter,Tm,Detail,CRD,GNB
0,1,Cardinals,"Safety, bad snap recovered in end zone",2,0
1,3,Packers,Red Dunn 30 yard field goal,2,3
2,4,Packers,Verne Lewellen 4 yard rush,2,9
