,Quarter,Time,Tm,Detail,RAM,SDG
0,2.0,0:49,Rams,Jessie Hester 40 yard pass from Chris Miller (Tony Zendejas kick),7,0
1,2.0,0:49,Chargers,John Carney 31 yard field goal,7,3
2,2.0,0:49,Rams,Troy Drayton 12 yard pass from Chris Miller (Tony Zendejas kick),14,3
3,2.0,0:49,Chargers,John Carney 48 yard field goal,14,6
4,3.0,0:49,Chargers,Darrien Gordon 75 yard punt return (Ronnie Harmon run),14,14
5,3.0,0:49,Chargers,Ronnie Harmon 11 yard pass from Stan Humphries (John Carney kick),14,21
6,4.0,0:49,Chargers,John Carney 37 yard field goal,14,24
7,4.0,0:49,Rams,Tony Zendejas 33 yard field goal,17,24
8,4.0,0:49,Chargers,Sean Vanhorse 50 yard interception return (John Carney kick),17,31
