,Quarter,Time,Tm,Detail,MIN,SEA
0,1.0,8:16,Vikings,Dalvin Cook 2 yard rush (Dan Bailey kick),7,0
1,1.0,0:14,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),7,7
2,2.0,5:18,Vikings,Anthony Harris 20 yard interception return (Dan Bailey kick),14,7
3,2.0,1:02,Seahawks,Jason Myers 29 yard field goal,14,10
4,2.0,0:01,Vikings,Dan Bailey 47 yard field goal,17,10
5,3.0,9:06,Seahawks,Rashaad Penny 1 yard rush (Jason Myers kick),17,17
6,3.0,5:49,Seahawks,Jason Myers 29 yard field goal,17,20
7,3.0,0:13,Seahawks,David Moore 60 yard pass from Russell Wilson (Jason Myers kick),17,27
8,4.0,13:37,Seahawks,Rashaad Penny 13 yard pass from Russell Wilson (Jason Myers kick),17,34
9,4.0,12:59,Vikings,Laquon Treadwell 58 yard pass from Kirk Cousins (Dan Bailey kick),24,34
10,4.0,7:19,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (Dan Bailey kick failed),30,34
11,4.0,0:25,Seahawks,Jason Myers 36 yard field goal,30,37
