,Quarter,Tm,Detail,NYJ,SFO
0,3.0,49ers,Steve Mike-Mayer 31 yard field goal,0,3
1,4.0,49ers,Cleveland Elam 31 yard defensive fumble return (Steve Mike-Mayer kick),0,10
2,4.0,49ers,Sammy Johnson 1 yard rush (Steve Mike-Mayer kick),0,17
3,4.0,Jets,Ed Marinaro 1 yard rush,6,17
