,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Eric Schubert 46 yard field goal,0,3
1,1.0,Redskins,Gary Clark 2 yard pass from Jay Schroeder (Max Zendejas kick),7,3
2,2.0,Cardinals,J.T. Smith 4 yard pass from Neil Lomax (Eric Schubert kick),7,10
3,2.0,Redskins,Terry Orr 22 yard pass from Jay Schroeder (Max Zendejas kick),14,10
4,2.0,Redskins,Max Zendejas 30 yard field goal,17,10
5,4.0,Cardinals,Roy Green 35 yard pass from Neil Lomax (Eric Schubert kick),17,17
6,4.0,Redskins,Max Zendejas 27 yard field goal,20,17
