,Quarter,Tm,Detail,COL,BRL
0,1.0,Tigers,Harley Pearce unknown yard rush,6,0
1,2.0,Lions,Herm Bagby fumble recovery in end zone (Matt Brennan kick),6,7
2,2.0,Lions,Rex Thomas 34 yard rush (Matt Brennan kick),6,14
3,3.0,Tigers,Jim Bertoglio 5 yard rush,12,14
4,4.0,Lions,George Snell 1 yard rush,12,20
