,Quarter,Tm,Detail,WAS,KAN
0,1.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),0,7
1,2.0,Chiefs,Tim Barnett 44 yard pass from Dave Krieg (Nick Lowery kick),0,14
2,2.0,Chiefs,Christian Okoye 3 yard rush (Nick Lowery kick),0,21
3,2.0,Chiefs,Harvey Williams 5 yard rush (Nick Lowery kick),0,28
4,3.0,Redskins,Ricky Ervins 5 yard rush (Chip Lohmiller kick),7,28
5,3.0,Redskins,Chip Lohmiller 40 yard field goal,10,28
6,3.0,Redskins,Chip Lohmiller 26 yard field goal,13,28
7,4.0,Redskins,Chip Lohmiller 38 yard field goal,16,28
8,4.0,Chiefs,Tim Barnett 35 yard pass from Dave Krieg (Nick Lowery kick),16,35
