,Quarter,Time,Tm,Detail,CAR,MIA
0,1.0,10:09,Dolphins,Ronnie Brown 1 yard rush (Olindo Mare kick),0,7
1,1.0,7:11,Panthers,John Kasay 52 yard field goal,3,7
2,1.0,0:10,Dolphins,Randy McMichael 18 yard pass from Gus Frerotte (Olindo Mare kick),3,14
3,2.0,5:44,Panthers,Steve Smith 1 yard pass from Jake Delhomme (John Kasay kick),10,14
4,2.0,3:39,Dolphins,Chris Chambers 42 yard pass from Gus Frerotte (Olindo Mare kick),10,21
5,2.0,0:54,Panthers,Steve Smith 3 yard pass from Jake Delhomme (John Kasay kick),17,21
6,4.0,7:32,Dolphins,Olindo Mare 27 yard field goal,17,24
7,4.0,7:12,Panthers,Steve Smith 53 yard pass from Jake Delhomme (John Kasay kick),24,24
8,4.0,0:04,Dolphins,Olindo Mare 32 yard field goal,24,27
