,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Kevin Clark 71 yard punt return (Rich Karlis kick),0,7
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),0,14
2,4.0,Broncos,Rich Karlis 26 yard field goal,0,17
3,4.0,Broncos,Ricky Hunley 52 yard interception return (Rich Karlis kick),0,24
