,Quarter,Tm,Detail,DEN,SEA
0,1.0,Broncos,Fred Steinfort 53 yard field goal,3,0
1,1.0,Broncos,Riley Odoms 18 yard pass from Matt Robinson (Fred Steinfort kick),10,0
2,2.0,Broncos,Matt Robinson 1 yard rush,16,0
3,2.0,Broncos,Fred Steinfort 55 yard field goal,19,0
4,3.0,Seahawks,Efren Herrera 47 yard field goal,19,3
5,3.0,Broncos,Fred Steinfort 34 yard field goal,22,3
6,3.0,Broncos,Fred Steinfort 38 yard field goal,25,3
7,4.0,Seahawks,Lawrence McCutcheon 2 yard rush (Efren Herrera kick),25,10
8,4.0,Seahawks,Jim Jodat 9 yard pass from Jim Zorn (Efren Herrera kick),25,17
