,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Gerald Riggs 2 yard rush (Chip Lohmiller kick),0,7
1,1.0,Redskins,Chip Lohmiller 20 yard field goal,0,10
2,2.0,Lions,Willie Green 18 yard pass from Erik Kramer (Eddie Murray kick),7,10
3,2.0,Redskins,Gerald Riggs 3 yard rush (Chip Lohmiller kick),7,17
4,2.0,Lions,Eddie Murray 30 yard field goal,10,17
5,3.0,Redskins,Chip Lohmiller 28 yard field goal,10,20
6,3.0,Redskins,Gary Clark 45 yard pass from Mark Rypien (Chip Lohmiller kick),10,27
7,4.0,Redskins,Art Monk 21 yard pass from Mark Rypien (Chip Lohmiller kick),10,34
8,4.0,Redskins,Darrell Green 32 yard interception return (Chip Lohmiller kick),10,41
