,Quarter,Tm,Detail,WAS,BOS
0,1.0,Redskins,Bob Seymour 1 yard rush (Joe Aguirre kick),7,0
1,2.0,Yanks,George Cafego 1 yard rush (Augie Lio kick),7,7
2,2.0,Redskins,Bob Seymour 16 yard rush (Joe Aguirre kick),14,7
3,3.0,Yanks,Joe Crowley 30 yard pass from Scott Gudmundson (Augie Lio kick),14,14
4,4.0,Redskins,Ted Lapka 42 yard pass from Frank Filchock (Joe Aguirre kick),21,14
