,Quarter,Time,Tm,Detail,STL,HOU
0,1,6:35,Texans,Andre Johnson 5 yard pass from David Carr (Kris Brown kick),0,7
1,2,11:33,Texans,Domanick Williams 30 yard pass from David Carr (Kris Brown kick),0,14
2,2,4:25,Texans,Kris Brown 39 yard field goal,0,17
3,2,0:58,Rams,Jeff Wilkins 37 yard field goal,3,17
4,2,0:20,Texans,Corey Bradford 10 yard pass from David Carr (Kris Brown kick),3,24
5,3,10:33,Rams,Torry Holt 19 yard pass from Ryan Fitzpatrick (Jeff Wilkins kick),10,24
6,4,6:37,Rams,Steven Jackson 1 yard rush (Jeff Wilkins kick),17,24
7,4,2:49,Texans,Kris Brown 35 yard field goal,17,27
8,4,0:26,Rams,Isaac Bruce 43 yard pass from Ryan Fitzpatrick (Jeff Wilkins kick),24,27
9,4,0:04,Rams,Jeff Wilkins 47 yard field goal,27,27
10,OT,8:46,Rams,Kevin Curtis 56 yard pass from Ryan Fitzpatrick,33,27
