,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Camp Wilson 1 yard rush,0,6
1,2.0,Rams,Fred Gehrke 29 yard rush (Bob Waterfield kick),7,6
2,2.0,Rams,Len Levy fumble recovery in end zone (Bob Waterfield kick),14,6
3,2.0,Rams,Bob Waterfield 25 yard field goal,17,6
4,3.0,Rams,Bob Shaw 28 yard pass from Bob Waterfield (Bob Waterfield kick),24,6
5,4.0,Lions,Jim Callahan 3 yard rush (Chuck DeShane kick),24,13
6,4.0,Rams,Bob Waterfield 15 yard field goal,27,13
7,4.0,Lions,Bob Cifers 70 yard pass from Dave Ryan (Chuck DeShane kick),27,20
8,4.0,Rams,Jim Benton 27 yard pass from Bob Waterfield (Bob Waterfield kick),34,20
9,4.0,Rams,Bob Waterfield 1 yard rush (Bob Waterfield kick),41,20
