,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,4:59,Chiefs,Tony Gonzalez 4 yard pass from Larry Johnson (Connor Barth kick),0,7
1,2.0,2:53,Chiefs,Dwayne Bowe 1 yard pass from Tyler Thigpen (Connor Barth kick),0,14
2,2.0,0:11,Chargers,Nate Kaeding 32 yard field goal,3,14
3,3.0,12:35,Chiefs,Tyler Thigpen 3 yard rush (Connor Barth kick),3,21
4,3.0,8:29,Chargers,LaDainian Tomlinson 6 yard rush (Nate Kaeding kick),10,21
5,4.0,1:13,Chargers,Malcom Floyd 4 yard pass from Philip Rivers (pass failed),16,21
6,4.0,0:36,Chargers,Vincent Jackson 10 yard pass from Philip Rivers (pass failed),22,21
