,Quarter,Tm,Detail,MIN,ATL
0,1,Vikings,Fred Cox 19 yard field goal,3,0
1,2,Falcons,Claude Humphrey 24 yard defensive fumble return (Bob Etter kick),3,7
2,3,Falcons,Bob Etter 28 yard field goal,3,10
