,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Morris Bradshaw 6 yard pass from Marc Wilson (Chris Bahr kick),0,7
1,2.0,Raiders,Marc Wilson 3 yard rush (Chris Bahr kick),0,14
2,2.0,Raiders,Chris Bahr 51 yard field goal,0,17
3,3.0,Chiefs,Billy Jackson 29 yard rush (Nick Lowery kick),7,17
4,4.0,Chiefs,Billy Jackson 3 yard rush (Nick Lowery kick),14,17
5,4.0,Chiefs,Billy Jackson 3 yard rush (Nick Lowery kick),21,17
6,4.0,Chiefs,Gary Spani 91 yard defensive fumble return (Nick Lowery kick),28,17
