,Quarter,Tm,Detail,SDG,NYJ
0,1.0,Jets,Rob Moore 6 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,1.0,Jets,Blair Thomas 1 yard rush (Pat Leahy kick),0,14
2,2.0,Chargers,John Carney 53 yard field goal,3,14
3,3.0,Jets,Pat Leahy 28 yard field goal,3,17
4,4.0,Jets,Blair Thomas 22 yard rush (Pat Leahy kick),3,24
