,Quarter,Time,Tm,Detail,GNB,BAL
0,1.0,13:11,Packers,Mason Crosby 45 yard field goal,3,0
1,2.0,0:00,Packers,Mason Crosby 31 yard field goal,6,0
2,3.0,6:06,Packers,Mason Crosby 50 yard field goal,9,0
3,3.0,4:34,Ravens,Justin Tucker 23 yard field goal,9,3
4,3.0,2:12,Packers,Jordy Nelson 64 yard pass from Aaron Rodgers (Mason Crosby kick),16,3
5,4.0,11:52,Ravens,Jacoby Jones 11 yard pass from Joe Flacco (Justin Tucker kick),16,10
6,4.0,4:17,Packers,Mason Crosby 31 yard field goal,19,10
7,4.0,2:04,Ravens,Dallas Clark 18 yard pass from Joe Flacco (Justin Tucker kick),19,17
