,Quarter,Time,Tm,Detail,NWE,CIN
0,1.0,11:52,Patriots,James White 23 yard pass from Tom Brady (Nick Folk kick),7,0
1,1.0,6:17,Bengals,Cethan Carter 8 yard pass from Andy Dalton (Randy Bullock kick),7,7
2,1.0,0:18,Bengals,Randy Bullock 34 yard field goal,7,10
3,2.0,3:55,Patriots,Nick Folk 40 yard field goal,10,10
4,2.0,0:10,Patriots,Nick Folk 46 yard field goal,13,10
5,3.0,11:23,Patriots,N'Keal Harry 7 yard pass from Tom Brady (Nick Folk kick),20,10
6,3.0,7:32,Patriots,Stephon Gilmore 64 yard interception return (Nick Folk kick),27,10
7,4.0,6:38,Bengals,Randy Bullock 48 yard field goal,27,13
8,4.0,5:38,Patriots,Rex Burkhead 33 yard rush (Nick Folk kick),34,13
