,Quarter,Time,Tm,Detail,DEN,ATL
0,1.0,,Falcons,Morten Andersen 32 yard field goal,0,3
1,1.0,,Broncos,Howard Griffith 1 yard rush (Jason Elam kick),7,3
2,2.0,,Broncos,Jason Elam 26 yard field goal,10,3
3,2.0,5:07,Broncos,Rod Smith 80 yard pass from John Elway (Jason Elam kick),17,3
4,2.0,5:07,Falcons,Morten Andersen 28 yard field goal,17,6
5,4.0,5:07,Broncos,Howard Griffith 1 yard rush (Jason Elam kick),24,6
6,4.0,5:07,Broncos,John Elway 3 yard rush (Jason Elam kick),31,6
7,4.0,5:07,Falcons,Tim Dwight 94 yard kickoff return (Morten Andersen kick),31,13
8,4.0,5:07,Broncos,Jason Elam 37 yard field goal,34,13
9,4.0,5:07,Falcons,Terance Mathis 3 yard pass from Chris Chandler (pass failed),34,19
