,Quarter,Tm,Detail,DAL,MIN
0,1.0,Cowboys,Rafael Septien 34 yard field goal,3,0
1,1.0,Vikings,Bob Tucker 2 yard pass from Tommy Kramer (Rick Danmeier kick),3,7
2,2.0,Cowboys,Tony Dorsett 5 yard rush (Rafael Septien kick),10,7
3,2.0,Cowboys,Tony Dorsett 3 yard rush (Rafael Septien kick),17,7
4,2.0,Cowboys,Benny Barnes 33 yard defensive fumble return,23,7
5,2.0,Vikings,Rick Danmeier 37 yard field goal,23,10
6,3.0,Vikings,Rick Danmeier 35 yard field goal,23,13
7,3.0,Vikings,Sammy White 28 yard pass from Tommy Kramer (Rick Danmeier kick),23,20
8,3.0,Cowboys,Tony Dorsett 30 yard rush (Rafael Septien kick),30,20
9,4.0,Cowboys,Preston Pearson 6 yard rush,36,20
