,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Fred Cone 32 yard field goal,0,3
1,1.0,Eagles,Bobby Walston 21 yard field goal,3,3
2,2.0,Eagles,Bobby Walston 27 yard field goal,6,3
3,2.0,Eagles,Tommy McDonald 16 yard pass from Norm Van Brocklin (Bobby Walston kick),13,3
4,2.0,Cowboys,Fred Cone 45 yard field goal,13,6
5,3.0,Cowboys,Frank Clarke 75 yard pass from Eddie LeBaron,13,12
6,4.0,Eagles,Billy Ray Barnes 10 yard rush (Bobby Walston kick),20,12
7,4.0,Cowboys,Eddie LeBaron 1 yard rush,20,18
8,4.0,Eagles,Billy Ray Barnes 23 yard rush (Bobby Walston kick),27,18
9,4.0,Cowboys,Gene Babb 27 yard pass from Eddie LeBaron (Fred Cone kick),27,25
