,Quarter,Time,Tm,Detail,CAR,STL
0,2.0,10:08,Rams,Josh Brown 33 yard field goal,0,3
1,2.0,2:07,Rams,Danny Amendola 2 yard pass from Sam Bradford (Josh Brown kick),0,10
2,2.0,0:37,Panthers,John Kasay 44 yard field goal,3,10
3,4.0,10:52,Rams,Daniel Fells 23 yard pass from Sam Bradford (Josh Brown kick),3,17
4,4.0,6:35,Rams,Josh Brown 41 yard field goal,3,20
5,4.0,3:37,Panthers,Brandon LaFell 17 yard pass from Matt Moore (John Kasay kick),10,20
