,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,5:35,Saints,Doug Brien 29 yard field goal,0,3
1,1.0,4:01,Buccaneers,Jacquez Green 62 yard pass from Trent Dilfer (Martin Gramatica kick),7,3
2,2.0,9:49,Buccaneers,Martin Gramatica 45 yard field goal,10,3
3,2.0,4:27,Buccaneers,John Davis 1 yard pass from Trent Dilfer (Martin Gramatica kick),17,3
4,2.0,0:30,Saints,Doug Brien 39 yard field goal,17,6
5,3.0,7:48,Buccaneers,Darnell McDonald 10 yard pass from Trent Dilfer (Martin Gramatica kick),24,6
6,4.0,10:45,Saints,Doug Brien 37 yard field goal,24,9
7,4.0,0:48,Saints,Keith Poole 1 yard pass from Billy Joe Tolliver (Doug Brien kick),24,16
8,4.0,0:15,Buccaneers,Mike Alstott 25 yard rush (Martin Gramatica kick),31,16
