,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,9:31,Saints,Doug Brien 24 yard field goal,3,0
1,1.0,1:52,Falcons,Terance Mathis 8 yard pass from Chris Chandler (Morten Andersen kick),3,7
2,2.0,9:53,Falcons,Chris Chandler 1 yard rush (Morten Andersen kick),3,14
3,2.0,4:55,Saints,Doug Brien 34 yard field goal,6,14
4,2.0,3:49,Falcons,Tim Dwight 48 yard pass from Chris Chandler (Morten Andersen kick),6,21
5,3.0,6:22,Falcons,Bob Christian 1 yard rush (Morten Andersen kick),6,28
6,3.0,2:43,Falcons,Ray Buchanan 52 yard interception return (Morten Andersen kick),6,35
7,4.0,10:24,Saints,Danny Wuerffel 29 yard rush (run failed),12,35
