,Quarter,Tm,Detail,SFO,BAL
0,1.0,49ers,Tommy Davis 21 yard field goal,3,0
1,2.0,Colts,Raymond Berry 10 yard pass from Johnny Unitas,3,6
2,2.0,Colts,Alex Hawkins 6 yard pass from Johnny Unitas (Steve Myhra kick),3,13
3,2.0,49ers,R.C. Owens 38 yard pass from John Brodie (Tommy Davis kick),10,13
4,3.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),17,13
5,3.0,Colts,Lenny Moore 65 yard pass from Johnny Unitas (Steve Myhra kick),17,20
6,4.0,49ers,Tommy Davis 15 yard field goal,20,20
7,4.0,Colts,"Safety, Roberts tackled in end zone by Lipscomb",20,22
8,4.0,49ers,R.C. Owens 21 yard pass from Bob Waters (Tommy Davis kick),27,22
9,4.0,49ers,Tommy Davis 17 yard field goal,30,22
