,Quarter,Time,Tm,Detail,MIN,NYG
0,1.0,8:50,Vikings,Dan Bailey 31 yard field goal,3,0
1,2.0,15:00,Vikings,Adam Thielen 15 yard pass from Kirk Cousins (Dan Bailey kick),10,0
2,2.0,12:16,Giants,Darius Slayton 35 yard pass from Daniel Jones (Aldrick Rosas kick),10,7
3,2.0,7:56,Vikings,Dan Bailey 48 yard field goal,13,7
4,2.0,2:13,Vikings,"Safety, Jon Hilliman tackled in end zone by Anthony Barr",15,7
5,2.0,0:50,Vikings,Dan Bailey 32 yard field goal,18,7
6,3.0,7:39,Giants,Aldrick Rosas 32 yard field goal,18,10
7,3.0,4:58,Vikings,Adam Thielen 9 yard pass from Kirk Cousins (Dan Bailey kick),25,10
8,4.0,4:13,Vikings,Dan Bailey 45 yard field goal,28,10
