,Quarter,Tm,Detail,NYG,NOR
0,1.0,Saints,Morten Andersen 33 yard field goal,0,3
1,2.0,Giants,Bobby Johnson 6 yard pass from Phil Simms (Jess Atkinson kick),7,3
2,4.0,Saints,Morten Andersen 43 yard field goal,7,6
3,4.0,Giants,Joe Morris 5 yard rush (Jess Atkinson kick),14,6
4,4.0,Giants,Joe Morris 1 yard rush (Jess Atkinson kick),21,6
5,4.0,Saints,Eric Martin 17 yard pass from Dave Wilson (Morten Andersen kick),21,13
