,Quarter,Tm,Detail,CRD,CHI
0,2.0,Bears,Hugh Gallarneau 4 yard rush (Frank Maznicki kick),0,7
1,2.0,Cardinals,Mal Kutner 23 yard pass from Paul Christman (Pat Harder kick),7,7
2,2.0,Cardinals,Pat Harder 32 yard rush (Pat Harder kick),14,7
3,2.0,Cardinals,Marshall Goldberg 32 yard rush (Pat Harder kick),21,7
4,3.0,Bears,Dante Magnani 5 yard pass from Sid Luckman (Frank Maznicki kick),21,14
5,3.0,Cardinals,Pat Harder 3 yard rush (Pat Harder kick),28,14
6,4.0,Bears,George McAfee 15 yard pass from Sid Luckman (Frank Maznicki kick),28,21
7,4.0,Bears,Joe Osmanski 1 yard rush (Frank Maznicki kick),28,28
8,4.0,Cardinals,Mal Kutner 4 yard pass from Paul Christman (Pat Harder kick),35,28
