,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,12:48,Colts,Brandon Stokley 10 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
1,1.0,8:17,Colts,Joseph Addai 21 yard pass from Peyton Manning (Adam Vinatieri kick),0,14
2,2.0,6:02,Colts,Adam Vinatieri 39 yard field goal,0,17
3,2.0,1:54,Texans,Kris Brown 43 yard field goal,3,17
4,2.0,0:00,Colts,Adam Vinatieri 43 yard field goal,3,20
5,3.0,8:07,Colts,Bryan Fletcher 15 yard pass from Peyton Manning (Adam Vinatieri kick),3,27
6,3.0,3:17,Colts,Adam Vinatieri 38 yard field goal,3,30
7,4.0,11:36,Texans,Owen Daniels 33 yard pass from David Carr (Kris Brown kick),10,30
8,4.0,7:56,Colts,Dominic Rhodes 2 yard rush (Adam Vinatieri kick),10,37
9,4.0,5:12,Texans,Mark Bruener 1 yard pass from David Carr (Kris Brown kick),17,37
10,4.0,2:28,Colts,Ran Carthon 3 yard rush (Hunter Smith kick failed),17,43
11,4.0,0:45,Texans,Andre Johnson 10 yard pass from David Carr (Kris Brown kick),24,43
