,Quarter,Tm,Detail,DEN,SDG
0,1,Chargers,Don Woods 6 yard rush (Dennis Partee kick),0,7
1,2,Chargers,Bo Matthews 1 yard rush (Dennis Partee kick),0,14
2,4,Chargers,Ray Wersching 37 yard field goal,0,17
