,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,11:21,Chiefs,Charcandrick West 4 yard rush (Cairo Santos kick),7,0
1,1.0,6:19,Chiefs,Cairo Santos 48 yard field goal,10,0
2,2.0,11:35,Chiefs,Cairo Santos 49 yard field goal,13,0
3,2.0,3:30,Chiefs,Cairo Santos 34 yard field goal,16,0
4,2.0,0:00,Chiefs,Cairo Santos 33 yard field goal,19,0
5,3.0,10:45,Chiefs,Cairo Santos 50 yard field goal,22,0
6,4.0,11:10,Chiefs,Charcandrick West 80 yard pass from Alex Smith (Cairo Santos kick),29,0
7,4.0,5:27,Broncos,Ronnie Hillman 1 yard rush (run failed),29,6
8,4.0,1:45,Broncos,Andre Caldwell 7 yard pass from Brock Osweiler (Brandon McManus kick),29,13
