,Quarter,Time,Tm,Detail,HOU,OAK
0,1.0,11:54,Texans,Demarcus Faggins 58 yard defensive fumble return (Kris Brown kick),7,0
1,2.0,13:46,Raiders,Justin Fargas 3 yard rush (Sebastian Janikowski kick),7,7
2,2.0,0:56,Raiders,Kirk Morrison 35 yard defensive fumble return (Sebastian Janikowski kick),7,14
3,3.0,14:44,Texans,Wali Lundy 3 yard rush (Kris Brown kick),14,14
4,4.0,9:58,Texans,Kris Brown 42 yard field goal,17,14
5,4.0,4:41,Texans,Kris Brown 47 yard field goal,20,14
6,4.0,2:15,Texans,Kris Brown 39 yard field goal,23,14
