,Quarter,Time,Tm,Detail,SFO,JAX
0,1.0,7:38,49ers,Wade Richey 42 yard field goal,3,0
1,1.0,5:04,Jaguars,Mike Hollis 41 yard field goal,3,3
2,2.0,1:49,Jaguars,Mike Hollis 32 yard field goal,3,6
3,3.0,9:21,Jaguars,Mike Hollis 50 yard field goal,3,9
4,3.0,9:21,Jaguars,Jason Craft 23 yard fumble return (Mark Brunell run),3,17
5,3.0,1:37,Jaguars,Damon Jones 4 yard pass from Mark Brunell (Mike Hollis kick),3,24
6,4.0,14:46,Jaguars,Mike Hollis 41 yard field goal,3,27
7,4.0,9:13,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),3,34
8,4.0,2:53,Jaguars,Aaron Beasley 90 yard interception return (Mike Hollis kick),3,41
