,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,"Safety, blocked punt",2,0
1,1.0,Bears,Joey Sternaman 10 yard rush (Paddy Driscoll kick),9,0
2,4.0,Bears,Laurie Walquist 1 yard rush,15,0
