,Quarter,Tm,Detail,PIT,NYJ
0,1.0,Steelers,Gary Anderson 25 yard field goal,3,0
1,1.0,Steelers,Rodney Carter 24 yard pass from Bubby Brister (Gary Anderson kick),10,0
2,2.0,Jets,Pat Leahy 41 yard field goal,10,3
3,2.0,Jets,Mickey Shuler 2 yard pass from Ken O'Brien (Pat Leahy kick),10,10
4,3.0,Jets,Johnny Hector 2 yard rush (Pat Leahy kick),10,17
5,4.0,Steelers,Gary Anderson 21 yard field goal,13,17
6,4.0,Jets,Freeman McNeil 5 yard rush (Pat Leahy kick),13,24
7,4.0,Steelers,Earnest Jackson 17 yard rush (Gary Anderson kick),20,24
