,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,,Vikings,David Palmer 8 yard rush (Eddie Murray kick),0,7
1,1.0,,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),7,7
2,2.0,,Vikings,David Palmer 7 yard pass from Brad Johnson (Eddie Murray kick),7,14
3,2.0,,Bears,Jeff Jaeger 29 yard field goal,10,14
4,2.0,,Vikings,Charles Evans 3 yard rush (Eddie Murray kick),10,21
5,3.0,,Bears,Jeff Jaeger 22 yard field goal,13,21
6,3.0,,Bears,Ricky Proehl 59 yard pass from Erik Kramer (pass failed),19,21
7,4.0,,Bears,Jeff Jaeger 36 yard field goal,22,21
8,4.0,,Vikings,Leroy Hoard 1 yard rush (Cris Carter pass from Brad Johnson ),22,29
