,Quarter,Time,Tm,Detail,MIA,CAR
0,1.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),7,0
1,1.0,,Panthers,John Kasay 32 yard field goal,7,3
2,2.0,,Panthers,John Kasay 27 yard field goal,7,6
3,2.0,0:02,Dolphins,Olindo Mare 24 yard field goal,10,6
4,4.0,0:02,Dolphins,Olindo Mare 22 yard field goal,13,6
5,4.0,0:02,Panthers,John Kasay 43 yard field goal,13,9
