,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Leonard Thompson 80 yard pass from Eric Hipple (Eddie Murray kick),0,7
1,1.0,Browns,Ricky Feacher 42 yard pass from Brian Sipe (Matt Bahr kick),7,7
2,2.0,Browns,Mike Pruitt 6 yard pass from Brian Sipe (Matt Bahr kick),14,7
3,2.0,Lions,Ulysses Norris 5 yard pass from Eric Hipple (Eddie Murray kick),14,14
4,3.0,Lions,Eddie Murray 43 yard field goal,14,17
5,3.0,Browns,Ozzie Newsome 15 yard pass from Brian Sipe (Matt Bahr kick),21,17
6,4.0,Browns,Dave Logan 22 yard pass from Brian Sipe (Matt Bahr kick),28,17
7,4.0,Lions,Ulysses Norris 15 yard pass from Gary Danielson (Eddie Murray kick),28,24
8,4.0,Lions,"Safety, English tackled Sipe in end zone",28,26
9,4.0,Browns,Matt Bahr 25 yard field goal,31,26
