,Quarter,Tm,Detail,HOU,PHI
0,1.0,Eagles,Richard Blackmore 20 yard interception return (Tony Franklin kick),0,7
1,2.0,Eagles,Wilbert Montgomery 3 yard rush (Tony Franklin kick),0,14
2,2.0,Eagles,Mike Quick 49 yard pass from Ron Jaworski (Tony Franklin kick),0,21
3,3.0,Eagles,Wilbert Montgomery 90 yard rush (Tony Franklin kick),0,28
4,3.0,Oilers,Dave Casper 16 yard pass from Archie Manning (Florian Kempf kick),7,28
5,4.0,Oilers,Donnie Craft 5 yard pass from Archie Manning (Florian Kempf kick),14,28
6,4.0,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),14,35
