,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,8:45,Bills,Jonathan Smith 8 yard pass from Kelly Holcomb (Rian Lindell kick),0,7
1,2.0,10:05,Bills,Eric Moulds 15 yard pass from Kelly Holcomb (Rian Lindell kick),0,14
2,2.0,5:53,Jets,Mike Nugent 44 yard field goal,3,14
3,2.0,0:30,Jets,Curtis Martin 1 yard rush (Mike Nugent kick),10,14
4,2.0,0:00,Bills,Rian Lindell 50 yard field goal,10,17
5,3.0,6:32,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),10,24
6,3.0,1:41,Jets,Vinny Testaverde 1 yard rush (Mike Nugent kick),17,24
7,4.0,5:54,Bills,Rian Lindell 38 yard field goal,17,27
