,Quarter,Tm,Detail,KAN,PIT
0,1.0,Chiefs,Todd Blackledge 1 yard rush (Nick Lowery kick),7,0
1,1.0,Steelers,Gary Anderson 30 yard field goal,7,3
2,2.0,Chiefs,Nick Lowery 37 yard field goal,10,3
3,2.0,Chiefs,Theotis Brown 3 yard rush (Nick Lowery kick),17,3
4,2.0,Steelers,Louis Lipps 80 yard pass from David Woodley (Gary Anderson kick),17,10
5,2.0,Chiefs,Theotis Brown 6 yard rush (Nick Lowery kick),24,10
6,2.0,Steelers,John Stallworth 29 yard pass from David Woodley (Gary Anderson kick),24,17
7,3.0,Steelers,Gary Anderson 47 yard field goal,24,20
8,3.0,Chiefs,Stephone Paige 22 yard pass from Todd Blackledge (Nick Lowery kick),31,20
9,3.0,Chiefs,Nick Lowery 47 yard field goal,34,20
10,3.0,Chiefs,Nick Lowery 37 yard field goal,37,20
11,4.0,Steelers,Louis Lipps 21 yard pass from Mark Malone (Gary Anderson kick),37,27
