,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,John Smith 33 yard field goal,3,0
1,3.0,Patriots,John Smith 25 yard field goal,6,0
2,3.0,Bills,Jim Braxton 24 yard pass from Joe Ferguson (Carson Long kick),6,7
3,4.0,Patriots,Sam Cunningham 31 yard rush (John Smith kick),13,7
4,4.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),20,7
