,Quarter,Time,Tm,Detail,DET,TAM
0,2.0,7:05,Buccaneers,Mike Alstott 24 yard rush (Martin Gramatica kick),0,7
1,2.0,3:24,Lions,Jason Hanson 39 yard field goal,3,7
2,3.0,7:03,Lions,Jason Hanson 30 yard field goal,6,7
3,3.0,0:00,Lions,Jason Hanson 50 yard field goal,9,7
4,4.0,11:43,Lions,Jason Hanson 42 yard field goal,12,7
5,4.0,0:45,Buccaneers,Keyshawn Johnson 13 yard pass from Brad Johnson (Mike Alstott pass from Brad Johnson ),12,15
