,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),0,7
1,3.0,Bengals,Tony Davis 1 yard rush (Chris Bahr kick),0,14
2,3.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),0,21
3,4.0,Oilers,Ken Burrough 16 yard pass from Dan Pastorini,6,21
4,4.0,Bengals,Isaac Curtis 45 yard pass from Ken Anderson (Chris Bahr kick),6,28
5,4.0,Oilers,Mike Renfro 6 yard pass from Dan Pastorini (Toni Fritsch kick),13,28
