,Quarter,Tm,Detail,GNB,PIT
0,2.0,Steelers,Gary Glick 17 yard field goal,0,3
1,2.0,Packers,Bart Starr 1 yard rush (Fred Cone kick),7,3
2,2.0,Packers,Howie Ferguson 40 yard rush (Fred Cone kick),14,3
3,2.0,Packers,Babe Parilli 5 yard rush (Fred Cone kick),21,3
4,3.0,Steelers,Jack McClairen 14 yard pass from Earl Morrall (Gary Glick kick),21,10
5,4.0,Packers,Fred Cone 24 yard field goal,24,10
6,4.0,Packers,Fred Cone 12 yard field goal,27,10
