,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),0,7
1,1.0,Chargers,Ray Wersching 22 yard field goal,3,7
2,1.0,Chiefs,Jan Stenerud 45 yard field goal,3,10
3,2.0,Chiefs,Jan Stenerud 36 yard field goal,3,13
4,3.0,Chiefs,Jan Stenerud 20 yard field goal,3,16
5,3.0,Chargers,Ray Wersching 26 yard field goal,6,16
6,3.0,Chiefs,Jeff Kinney 5 yard rush (Jan Stenerud kick),6,23
7,4.0,Chiefs,Wendell Hayes 2 yard rush (Jan Stenerud kick),6,30
8,4.0,Chiefs,Jan Stenerud 27 yard field goal,6,33
