,Quarter,Tm,Detail,TAM,KAN
0,1.0,Buccaneers,Donald Igwebuike 49 yard field goal,3,0
1,1.0,Chiefs,Mike Pruitt 1 yard rush (Nick Lowery kick),3,7
2,2.0,Buccaneers,Calvin Magee 10 yard pass from Steve Young (Donald Igwebuike kick),10,7
3,2.0,Buccaneers,Donald Igwebuike 39 yard field goal,13,7
4,2.0,Chiefs,Nick Lowery 26 yard field goal,13,10
5,3.0,Chiefs,Nick Lowery 20 yard field goal,13,13
6,3.0,Chiefs,Stephone Paige 3 yard pass from Bill Kenney (Nick Lowery kick),13,20
7,4.0,Buccaneers,James Wilder 3 yard rush (Donald Igwebuike kick),20,20
8,4.0,Chiefs,Jeff Smith 32 yard rush (Nick Lowery kick),20,27
