,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,10:57,Steelers,Kordell Stewart 8 yard rush (Kris Brown kick),7,0
1,1.0,1:39,Ravens,Errict Rhett 2 yard rush (Matt Stover kick),7,7
2,2.0,1:46,Steelers,Richard Huntley 17 yard rush (Kris Brown kick),14,7
3,2.0,1:15,Ravens,Matt Stover 45 yard field goal,14,10
4,3.0,4:16,Steelers,Kris Brown 32 yard field goal,17,10
5,4.0,7:55,Ravens,Matt Stover 28 yard field goal,17,13
6,4.0,2:39,Steelers,Kris Brown 28 yard field goal,20,13
7,4.0,1:22,Ravens,Qadry Ismail 19 yard pass from Stoney Case (Matt Stover kick),20,20
8,4.0,0:00,Steelers,Kris Brown 36 yard field goal,23,20
