,Quarter,Time,Tm,Detail,IND,CLE
0,1.0,4:10,Browns,Terry Kirby 1 yard rush (Phil Dawson kick),0,7
1,2.0,14:06,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),7,7
2,2.0,9:56,Browns,Darrin Chiaverini 28 yard pass from Ty Detmer (Phil Dawson kick),7,14
3,2.0,1:56,Colts,Mike Vanderjagt 41 yard field goal,10,14
4,2.0,0:00,Colts,Mike Vanderjagt 19 yard field goal,13,14
5,3.0,10:47,Browns,Ty Detmer 8 yard rush (Phil Dawson kick),13,21
6,3.0,7:04,Colts,Edgerrin James 1 yard rush (run failed),19,21
7,3.0,0:11,Browns,Terry Kirby 1 yard rush (Phil Dawson kick),19,28
8,4.0,9:54,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),26,28
9,4.0,0:04,Colts,Mike Vanderjagt 21 yard field goal,29,28
