,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),0,7
1,1.0,Rams,Mike Lansford 31 yard field goal,0,10
2,1.0,Rams,Mike Lansford 36 yard field goal,0,13
3,2.0,Cowboys,Doug Cosbie 19 yard pass from Gary Hogeboom (Rafael Septien kick),7,13
4,3.0,Cowboys,Rafael Septien 31 yard field goal,10,13
5,4.0,Cowboys,Rafael Septien 52 yard field goal,13,13
6,4.0,Cowboys,Tony Dorsett 7 yard rush (Rafael Septien kick),20,13
