,Quarter,Tm,Detail,BUF,BAL
0,1.0,Colts,Steve Mike-Mayer 20 yard field goal,0,3
1,2.0,Colts,Steve Mike-Mayer 33 yard field goal,0,6
2,2.0,Bills,Roland Hooks 1 yard rush (Nick Mike-Mayer kick),7,6
3,2.0,Bills,Frank Lewis 24 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,6
4,3.0,Bills,Lou Piccone 47 yard pass from Joe Ferguson (Nick Mike-Mayer kick),21,6
5,3.0,Bills,Reuben Gant 9 yard pass from Joe Ferguson (Nick Mike-Mayer kick),28,6
6,3.0,Bills,Nick Mike-Mayer 41 yard field goal,31,6
7,4.0,Colts,Reese McCall 4 yard pass from Greg Landry (Steve Mike-Mayer kick),31,13
