,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Garo Yepremian 33 yard field goal,3,0
1,1.0,Bills,Randy Jackson 13 yard pass from Dennis Shaw,3,6
2,1.0,Dolphins,Mercury Morris 22 yard rush (Garo Yepremian kick),10,6
3,2.0,Dolphins,Garo Yepremian 17 yard field goal,13,6
4,2.0,Dolphins,Garo Yepremian 16 yard field goal,16,6
5,2.0,Bills,Tony Greene 39 yard interception return (John Leypoldt kick),16,13
6,3.0,Dolphins,Marv Fleming 7 yard pass from Earl Morrall (Garo Yepremian kick),23,13
7,3.0,Bills,John Leypoldt 28 yard field goal,23,16
8,4.0,Dolphins,Mercury Morris 4 yard rush (Garo Yepremian kick),30,16
