,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,Kevin Butler 29 yard field goal,3,0
1,2.0,Bears,Kevin Butler 23 yard field goal,6,0
2,2.0,Bears,Kevin Butler 46 yard field goal,9,0
3,3.0,Redskins,Gary Clark 8 yard pass from Mark Rypien (Chip Lohmiller kick),9,7
4,4.0,Redskins,Chip Lohmiller 35 yard field goal,9,10
