,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,11:23,Lions,Jason Hanson 30 yard field goal,0,3
1,1.0,9:25,Lions,Johnnie Morton 42 yard pass from Charlie Batch (Jason Hanson kick),0,10
2,2.0,14:50,Packers,Ryan Longwell 44 yard field goal,3,10
3,2.0,10:03,Lions,James Stewart 13 yard pass from Charlie Batch (Jason Hanson kick),3,17
4,2.0,1:33,Lions,Lamar Campbell 42 yard interception return (Jason Hanson kick),3,24
5,2.0,0:09,Packers,Ryan Longwell 51 yard field goal,6,24
6,3.0,7:19,Packers,Ryan Longwell 31 yard field goal,9,24
7,3.0,4:39,Lions,Herman Moore 30 yard pass from Charlie Batch (Jason Hanson kick),9,31
8,3.0,1:19,Packers,Antonio Freeman 5 yard pass from Brett Favre (Donald Driver pass from Brett Favre ),17,31
9,4.0,7:15,Packers,William Henderson 7 yard pass from Brett Favre (Ryan Longwell kick),24,31
